#stats2026_tags.csv v1.0.0 - 12/02/2026 03:07:17
canontag;canonadj;effectif
béance;;758
bruxisme;;527
bruxisme;modéré;210
bruxisme;nocturne;208
bruxisme;diurne;206
bruxisme;sévère;198
béance;postérieure;185
béance;antérieure;178
béance;modérée;178
béance;gauche;171
béance;droite;168
béance;latérale;168
béance;sévère;160
favori;;32
torque;;30
égression;;29
débandage;;29
agénésie;;29
déglutition;;28
contrôle;;28
microdontie;;28
composite;;28
minivis;;27
arc transpalatin;;26
fracture;;26
activateur;;26
diabète;;26
déviation mandibulaire;;26
édentation;;26
dentition mixte;;25
asymétrie faciale;;25
classe i d'angle;;25
urgence;;25
maxillaire normopositionné;;25
classe ii squelettique;;25
déviation maxillaire;;25
empreinte;;25
occlusion inversée;;25
plaque éventail;;25
vestibulo-version;;25
arc orthodontique;;24
classe ii d'angle;;24
céramique;;24
scanner;;24
rétrognathie maxillaire;;24
récession gingivale;;24
malocclusion;;24
céphalométrie;;23
ancrage;;23
succion;;23
arthrite;;23
alignement;;23
crowding;;23
stripping;;23
prognathie mandibulaire;;23
linguo-version;;23
traitement interceptif;;23
translation;;23
inclusion;;23
rotation;;23
récidive;;23
fluorose;;22
molaire;;22
propulsor;;22
incisives latérales;;22
phonation;;22
pendulum;;22
plaque papillon;;22
érosion;;22
auxiliaire;;22
arthrose;;22
contention;;22
supraclusion;;22
élastiques intermaxillaires;;21
facette;;21
version;;21
rétrognathie mandibulaire;;21
ventilation nasale;;21
ingression;;21
avulsion;;21
dent surnuméraire;;21
transposition;;21
mainteneur d'espace;;21
écarteur;;21
apnée du sommeil;;21
gingivite;;21
fente;;21
macrodontie;;20
bagues;;20
incisives palatinées;;20
occlusion croisée;;20
dentition temporaire;;20
protrusion;;20
classe i squelettique;;20
dtm;;20
consultation;;20
latérodéviation;;20
éruption ectopique;;20
mésialisation;;20
bielles;;19
aéro;;19
nécrose pulpaire;;19
overjet;;19
endoalvéolie;;19
ddm;;19
engrènement;;19
luxation méniscale;;19
métal;;19
éruption;;19
claquement articulaire;;18
maladie parodontale;;18
panoramique;;18
mandibule normopositionnée;;18
nivellement;;18
niti;;18
diastème;;18
rétrocheilie;;18
canine;;18
prognathisme maxillaire;;18
analyse de bolton;;18
bipro;;18
chirurgie;;18
dysfonction linguale;;18
interposition linguale;;18
succion;digitale;18
classe i d'angle;encombrée;18
microdontie;mandibulaire;18
ankylose;;17
plaque amovible;;17
macrognathie;;17
ectopie;;17
onychophagie;;17
ressaut articulaire;;17
douleur;;17
croissance;;17
photographie clinique;;17
atm;;17
distalisation;;17
ostéotomie;;17
plaque y;;17
ancrage;maxillaire;17
fracture;maxillaire;17
microdontie;maxillaire;17
gingivite;modérée;17
ancrage;mandibulaire;17
dysplasie;;16
procheilie;;16
dentition permanente;;16
gouttière;;16
rétroalvéolie;;16
classe iii squelettique;;16
gingivite;sévère;16
fracture;mandibulaire;16
diastemata;;15
mastication;;15
ef;;15
détartrage;;15
respiration buccale;;15
proglissement;;15
classe i squelettique;modérée;15
rétrognathie mandibulaire;modérée;15
inclusion;maxillaire;15
dentition temporaire;incluse;15
quad helix;;14
force orthodontique;;14
luxation;;14
incisives latérales;maxillaires;14
overjet;sévère;14
classe ii squelettique;modérée;14
classe ii squelettique;sévère;14
asymétrie faciale;droite;14
contention;fixe;14
contention;amovible;14
micrognathie;;13
wits;;13
implant;;13
orthodontie linguale;;13
macrodontie;maxillaire;13
incisives latérales;mandibulaires;13
asymétrie faciale;sévère;13
classe i squelettique;idéale;13
rétrognathie maxillaire;sévère;13
inclusion;mandibulaire;13
déviation mandibulaire;gauche;13
récidive;sévère;13
prognathisme maxillaire;sévère;13
bipro;incisive;13
chirurgie;traumatique;13
supraclusion;sévère;13
supraclusion;antérieure;13
éruption;retardée;13
dysfonction linguale;sévère;13
résorption radiculaire;;12
prémolaire;;12
macrodontie;mandibulaire;12
molaire;maxillaire;12
déviation maxillaire;gauche;12
diastème;central;12
prognathisme maxillaire;modéré;12
apnée du sommeil;modérée;12
édentation;mandibulaire;12
rétrognathie mandibulaire;sévère;12
ostéotomie;maxillaire;12
overjet;modéré;12
déviation maxillaire;antérieure;12
agénésie;maxillaire;12
supraclusion;modérée;12
caries dentaires;;11
scanner intra-oral;;11
dysplasie;modérée;11
dysplasie;sévère;11
asymétrie faciale;modérée;11
prognathie mandibulaire;sévère;11
dtm;modéré;11
rétrognathie maxillaire;modérée;11
douleur;infectieuse;11
molaire;mandibulaire;11
récidive;modérée;11
édentation;maxillaire;11
maladie parodontale;modérée;11
endoalvéolie;mandibulaire;11
malocclusion;gauche;11
protrusion;sévère;11
malposition;;10
macrognathie;mandibulaire;10
crowding;mandibulaire;10
protrusion;modérée;10
dtm;gauche;10
déviation maxillaire;droite;10
récession gingivale;maxillaire;10
diastemata;centraux;10
écarteur;maxillaire;10
asymétrie faciale;gauche;10
bipro;maxillaire;10
bipro;sévère;10
maladie parodontale;sévère;10
apnée du sommeil;sévère;10
ostéotomie;mandibulaire;10
ddm;maxillaire;10
déviation mandibulaire;modérée;10
éruption;ectopique;10
fente;labio-palatine;10
respiration buccale;sévère;10
agénésie;unilatérale;10
ddm;mandibulaire;9
dtm;sévère;9
dtm;droit;9
micrognathie;maxillaire;9
récession gingivale;sévère;9
rétrocheilie;sévère;9
rétrocheilie;modérée;9
canine;ectopique;9
édentation;complète;9
édentation;totale;9
ectopie;maxillaire;9
endoalvéolie;sévère;9
luxation méniscale;bilatérale;9
crowding;antérieur;9
déviation mandibulaire;sévère;9
déviation mandibulaire;droite;9
dent surnuméraire;maxillaire;9
respiration buccale;modérée;9
dysfonction linguale;modérée;9
proglissement;gauche;9
agénésie;mandibulaire;9
classe iii squelettique;sévère;9
luxation méniscale;réductible;9
protrusion;mandibulaire;8
avulsion;différée;8
avulsion;totale;8
micrognathie;mandibulaire;8
classe ii d'angle;sévère;8
classe ii d'angle;unilatérale;8
procheilie;sévère;8
force orthodontique;modérée;8
force orthodontique;sévère;8
canine;incluse;8
crowding;maxillaire;8
crowding;sévère;8
écarteur;sévère;8
écarteur;modéré;8
endoalvéolie;modérée;8
dtm;bilatéral;8
prognathie mandibulaire;modérée;8
latérodéviation;gauche;8
latérodéviation;droite;8
dent surnuméraire;mandibulaire;8
proglissement;droite;8
classe iii squelettique;modérée;8
agénésie;latérale;8
