#stats1000_tags.csv v1.0.0 - 24/12/2025 17:29:19
canontag;canonadj;effectif
béance;;369
bruxisme;;269
béance;latérale;120
bruxisme;diurne;88
béance;gauche;87
béance;postérieure;85
bruxisme;modéré;83
béance;sévère;83
bruxisme;sévère;79
bruxisme;nocturne;77
béance;antérieure;73
béance;modérée;73
béance;droite;62
transposition;;20
rétrusion;;19
croissance;;17
dentition permanente;;16
occlusion inversée;;16
prognathisme maxillaire;;16
ddm;;16
micrognathie;;16
molaire;;16
version;;16
ressaut articulaire;;16
classe iii d'angle;;16
supraclusion;;16
arthrose;;15
débandage;;15
déviation mandibulaire;;15
contention;;15
dysfonction linguale;;15
ectopie;;15
caries dentaires;;15
claquement articulaire;;15
métal;;15
vestibulo-version;;14
latérodéviation;;14
plaque amovible;;14
nécrose pulpaire;;14
dent surnuméraire;;14
pendulum;;14
panoramique;;14
mésialisation;;13
herbst;;13
infraclusion;;13
proalvéolie;;13
activateur;;13
translation;;13
minivis;;13
distalisation;;13
récidive;;13
contrôle;;13
consultation;;13
écarteur;;13
bielles;;12
ankylose;;12
classe ii squelettique;;12
dysplasie;;12
déglutition;;12
ef;;12
endoalvéolie;;12
atm;;12
agénésie;;12
classe i squelettique;;12
luxation;;12
douleur;;12
prognathisme mandibulaire;;12
occlusion croisée;;12
quad helix;;12
niti;;12
inclusion;;12
torque;;12
linguo-version;;12
mastication;;12
supraposition;;12
macrodontie;;12
arc;;12
asymétrie faciale;;12
plaque éventail;;11
incisive;;11
protrusion;;11
détartrage;;11
stripping;;11
urgence;;11
maladie parodontale;;11
gingivite;;11
canine;;11
diastème;;11
infraposition;;11
édentation;;11
interposition linguale;;11
classe i d'angle;;10
récession gingivale;;10
crowding;;10
rotation;;10
prémolaire;;10
propulsor;;10
arthrite;;10
ingression;;10
douleur;infectieuse;10
classe iii d'angle;unilatérale;10
céphalométrie;;9
résorption radiculaire;;9
arcade;;9
élastiques intermaxillaires;;9
tong e;;9
plaque papillon;;9
classe ii d'angle;;9
mainteneur d'espace;;9
alignement;;9
bagues;;9
spacing;;9
classe iii squelettique;;9
contention;fixe;9
phonation;;8
scanner intra-oral;;8
ligature;;8
proglissement;;8
ostéotomie;;8
empreinte;;8
succion;;8
macrognathie;;8
gouttière;;8
diastemata;;8
avulsion;;8
chirurgie;;8
égression;;8
dentition mixte;;8
onychophagie;;8
aéro;;8
classe i d'angle;encombrée;8
ligature;fixe;8
ligature;amovible;8
fil qui pique;;7
déviation maxillaire;;7
apnée du sommeil;;7
traitement interceptif;;7
rétroalvéolie;;7
ventilation nasale;;7
hygiène;;7
incisive;centrale;7
classe i squelettique;idéale;7
classe i squelettique;modérée;7
prognathisme maxillaire;modéré;7
contention;amovible;7
diastemata;centraux;7
malposition;;6
scanner;;6
microdontie;;6
bipro;;6
composite;;6
succion;digitale;6
diastème;central;6
céramique;;5
dentition temporaire;;5
luxation méniscale;;5
latérodéviation;mandibulaire;5
latérodéviation;gauche;5
endoalvéolie;mandibulaire;5
classe iii d'angle;sévère;5
avulsion;totale;5
classe iii squelettique;modérée;5
malocclusion;;4
respiration buccale;;4
prognathisme maxillaire;sévère;4
endoalvéolie;modérée;4
endoalvéolie;sévère;4
classe ii d'angle;unilatérale;4
prognathisme mandibulaire;sévère;4
prognathisme mandibulaire;modéré;4
classe iii d'angle;modérée;4
proalvéolie;incisive;4
dentition temporaire;incluse;4
proalvéolie;modérée;4
chirurgie;traumatique;4
plaque y;;3
classe ii d'angle;division 1;3
avulsion;immédiate;3
proalvéolie;mandibulaire;3
avulsion;différée;3
proalvéolie;maxillaire;3
rétroalvéolie;maxillaire;3
malposition;maxillaire;2
endoalvéolie;maxillaire;2
classe ii d'angle;modérée;2
classe ii d'angle;division 2;2
rétroalvéolie;sévère;2
latérodéviation;maxillaire;2
classe iii squelettique;sévère;2
latérodéviation;droite;2
rétroalvéolie;mandibulaire;1
proalvéolie;sévère;1
classe ii d'angle;sévère;1
rétroalvéolie;modérée;1
avulsion;programmée;1
malposition;mandibulaire;1
