#stats101_tags.csv v1.0.0 - 18/12/2025 19:47:18
canontag;canonadj;effectif
béance;;34
bruxisme;;25
bruxisme;nocturne;10
béance;latérale;10
bruxisme;sévère;8
béance;sévère;8
béance;antérieure;7
béance;modérée;7
bruxisme;modéré;7
béance;gauche;6
béance;postérieure;6
déviation mandibulaire;;5
dentition permanente;;4
mésialisation;;3
phonation;;3
rétrusion;;3
arcade;;3
vestibulo-version;;3
proalvéolie;;3
prognathisme maxillaire;;3
plaque amovible;;3
croissance;;3
micrognathie;;3
translation;;3
minivis;;3
plaque papillon;;3
niti;;3
bruxisme;diurne;3
céphalométrie;;2
classe i d'angle;;2
bielles;;2
protrusion;;2
classe ii squelettique;;2
occlusion inversée;;2
herbst;;2
élastiques intermaxillaires;;2
déglutition;;2
infraclusion;;2
latérodéviation;;2
activateur;;2
scanner intra-oral;;2
endoalvéolie;;2
ligature;;2
ddm;;2
classe i squelettique;;2
nécrose pulpaire;;2
rotation;;2
stripping;;2
débandage;;2
molaire;;2
version;;2
ressaut articulaire;;2
urgence;;2
apnée du sommeil;;2
douleur;;2
pendulum;;2
contention;;2
transposition;;2
inclusion;;2
succion;;2
dysfonction linguale;;2
linguo-version;;2
classe i d'angle;encombrée;2
latérodéviation;mandibulaire;2
latérodéviation;gauche;2
béance;droite;2
ligature;fixe;2
ligature;amovible;2
classe i squelettique;modérée;2
contention;fixe;2
succion;digitale;2
malocclusion;;1
résorption radiculaire;;1
plaque éventail;;1
incisive;;1
ankylose;;1
récession gingivale;;1
malposition;;1
dysplasie;;1
ef;;1
arthrose;;1
atm;;1
agénésie;;1
proglissement;;1
crowding;;1
céramique;;1
tong e;;1
fil qui pique;;1
détartrage;;1
dent surnuméraire;;1
classe ii d'angle;;1
distalisation;;1
mainteneur d'espace;;1
luxation;;1
déviation maxillaire;;1
prognathisme mandibulaire;;1
occlusion croisée;;1
quad helix;;1
classe iii d'angle;;1
récidive;;1
maladie parodontale;;1
ostéotomie;;1
empreinte;;1
torque;;1
gingivite;;1
panoramique;;1
traitement interceptif;;1
macrognathie;;1
alignement;;1
bagues;;1
ectopie;;1
incisive;centrale;1
malposition;maxillaire;1
prognathisme maxillaire;sévère;1
endoalvéolie;mandibulaire;1
endoalvéolie;modérée;1
classe i squelettique;idéale;1
classe ii d'angle;division 1;1
douleur;infectieuse;1
prognathisme maxillaire;modéré;1
endoalvéolie;sévère;1
endoalvéolie;maxillaire;1
contention;amovible;1
