#stats50000_tags.csv v1.0.0 - 15/12/2025 20:23:32
canontag;canonadj;effectif
béance;;18309
Bruxisme;;12635
béance;latérale;5421
béance;antérieure;4034
béance;droite;3975
béance;gauche;3932
béance;modérée;3928
béance;sévère;3885
béance;postérieure;3881
Bruxisme;sévère;3857
Bruxisme;diurne;3806
Bruxisme;nocturne;3763
Bruxisme;modéré;3733
caries dentaires;;621
dentition temporaire;;618
crowding;;616
classe II d'Angle;;615
pendulum;;614
douleur;;611
DDM;;609
rétrognathie;;609
récidive;;608
arc;;605
mésialisation;;601
distalisation;;598
déglutition;;597
activateur;;593
supraposition;;592
minivis;;590
supraclusion;;590
proalvéolie;;589
débandage;;588
déviation maxillaire;;588
empreinte;;587
élastiques intermaxillaires;;586
apnée du sommeil;;586
scanner;;585
métal;;581
Classe II squelettique;;581
ATM;;580
Herbst;;580
classe III d'Angle;;579
latérodéviation mandibulaire;;579
infraclusion;;579
détartrage;;578
rétrusion;;578
translation;;577
disjoncteur;;576
vestibulo-version;;576
traitement interceptif;;576
incisive;;575
édentation;;575
ectopie;;574
ankylose;;574
gouttière;;574
diastème;;573
linguo-version;;571
surplomb;;571
respiration buccale;;570
molaire;;569
mastication;;569
Prognathisme mandibulaire;;568
maladie parodontale;;568
alignement;;568
égression;;568
urgence;;567
luxation;;567
ventilation nasale;;567
phonation;;566
luxation méniscale;;566
écarteur;;565
mainteneur d'espace;;565
avulsion;;565
composite;;564
bagues;;563
Propulsor;;563
quad helix;;563
agénésie;;562
Prognathisme maxillaire;;561
prémolaire;;561
transposition;;561
bielles;;561
macrodontie;;560
déviation mandibulaire;;560
ressaut articulaire;;559
panoramique;;559
gingivite;;558
ingression;;558
torque;;558
rétroalvéolie;;557
canine;;556
dysplasie;;556
protrusion;;556
malocclusion;;555
onychophagie;;555
rotation;;555
NiTi;;554
version;;553
macrognathie;;553
céphalométrie;;553
ostéotomie;;553
occlusion croisée;;552
infraposition;;552
chirurgie;;551
spacing;;551
nécrose pulpaire;;551
Classe I squelettique;;549
rétrognathie mandibulaire;;549
céramique;;548
ligature;;547
asymétrie faciale;;546
arcade;;546
arthrite;;545
interposition linguale;;545
claquement articulaire;;545
inclusion;;545
scanner intra-oral;;544
classe I d'Angle;;544
Classe III squelettique;;540
dentition mixte;;540
contention;;538
stripping;;537
contrôle;;536
plaque amovible;;534
résorption radiculaire;;533
latérodéviation maxillaire;;533
arthrose;;530
occlusion inversée;;527
dent surnuméraire;;526
micrognathie;;526
fil qui pique;;526
dysfonction linguale;;525
récession gingivale;;524
consultation;;523
rétrognathie maxillaire;;522
malposition dentaire;;521
diastemata;;520
endoalvéolie;;520
prognathie;;519
proglissement mandibulaire;;517
microdontie;;513
dentition permanente;;511
croissance;;508
hygiène;;494
succion;;492
DDM;sévère;428
déglutition;atypique;421
luxation méniscale;réductible;413
canine;incluse;382
succion;digitale;360
croissance;pic;359
prémolaire;première;351
classe III d'Angle;subdivision;345
supraclusion;prononcée;344
supraclusion;totale;343
contention;fixe;342
incisive;centrale;338
molaire;première;337
prémolaire;deuxième;336
incisive;latérale;328
Classe I squelettique;modérée;325
contention;amovible;324
arthrite;traumatique;322
classe I d'Angle;avec encombrement;317
molaire;deuxième;315
arthrite;infectieuse;310
classe I d'Angle;avec diastèmes;309
Classe I squelettique;idéale;306
avulsion;programmée;306
avulsion;immédiate;301
claquement articulaire;léger;293
avulsion;différée;291
proalvéolie;incisive;249
classe II d'Angle;subdivision;237
déviation maxillaire;droite;217
malocclusion;droite;211
ressaut articulaire;gauche;204
Prognathisme mandibulaire;modérée;204
Classe II squelettique;division 2;204
classe III d'Angle;sévère;202
arcade;maxillaire;202
latérodéviation mandibulaire;droite;201
Prognathisme maxillaire;sévère;200
macrognathie;mandibulaire;199
malocclusion;gauche;197
micrognathie;maxillaire;196
déviation mandibulaire;gauche;196
Prognathisme mandibulaire;sévère;195
latérodéviation mandibulaire;gauche;194
endoalvéolie;mandibulaire;193
Classe II squelettique;division 1;193
Prognathisme maxillaire;modérée;193
arcade;mandibulaire;193
déviation maxillaire;gauche;191
ressaut articulaire;droit;190
malposition dentaire;maxillaire;190
rétrognathie mandibulaire;modérée;190
latérodéviation maxillaire;gauche;186
rétrognathie maxillaire;modérée;185
rétrognathie mandibulaire;sévère;185
classe III d'Angle;modérée;184
déviation mandibulaire;droite;184
rétrognathie maxillaire;sévère;183
macrognathie;maxillaire;182
latérodéviation maxillaire;droite;179
classe II d'Angle;sévère;177
occlusion inversée;antérieure;177
endoalvéolie;maxillaire;174
claquement articulaire;gauche;174
rétroalvéolie;mandibulaire;171
malposition dentaire;mandibulaire;170
occlusion inversée;gauche;170
rétroalvéolie;modérée;168
classe II d'Angle;division 2;167
micrognathie;mandibulaire;165
proalvéolie;maxillaire;158
rétroalvéolie;maxillaire;157
rétroalvéolie;sévère;157
proalvéolie;mandibulaire;157
claquement articulaire;droit;157
proalvéolie;modérée;156
occlusion inversée;droite;153
occlusion inversée;postérieure;153
proalvéolie;sévère;150
classe II d'Angle;division 1;147
classe II d'Angle;modérée;145
