#stats1600_tags.csv v1.0.0 - 11/02/2026 09:50:04
canontag;canonadj;effectif
béance;;592
bruxisme;;399
bruxisme;modéré;166
bruxisme;nocturne;160
bruxisme;sévère;158
bruxisme;diurne;153
béance;postérieure;148
béance;droite;145
béance;modérée;141
béance;latérale;141
béance;gauche;137
béance;antérieure;137
béance;sévère;134
favori;;26
contrôle;;25
diabète;;25
torque;;24
récession gingivale;;24
déviation mandibulaire;;24
déglutition;;23
activateur;;23
minivis;;23
microdontie;;23
égression;;23
composite;;23
classe i d'angle;;22
maxillaire normopositionné;;22
arc transpalatin;;21
classe ii d'angle;;21
phonation;;21
arthrite;;21
alignement;;21
classe ii squelettique;;21
rétrognathie maxillaire;;21
déviation maxillaire;;21
édentation;;21
agénésie;;21
dentition mixte;;20
fluorose;;20
succion;;20
urgence;;20
empreinte;;20
occlusion inversée;;20
récidive;;20
débandage;;20
macrodontie;;19
fracture;;19
prognathie mandibulaire;;19
pendulum;;19
inclusion;;19
rotation;;19
céphalométrie;;18
ancrage;;18
nécrose pulpaire;;18
molaire;;18
incisives latérales;;18
crowding;;18
dentition temporaire;;18
protrusion;;18
stripping;;18
scanner;;18
plaque papillon;;18
érosion;;18
latérodéviation;;18
dent surnuméraire;;18
translation;;18
transposition;;18
mainteneur d'espace;;18
apnée du sommeil;;18
arthrose;;18
plaque éventail;;18
gingivite;;18
mésialisation;;18
bielles;;17
arc orthodontique;;17
propulsor;;17
incisives palatinées;;17
asymétrie faciale;;17
rétrognathie mandibulaire;;17
consultation;;17
niti;;17
malocclusion;;17
éruption;;17
ectopie;;16
élastiques intermaxillaires;;16
ventilation nasale;;16
dtm;;16
avulsion;;16
linguo-version;;16
croissance;;16
traitement interceptif;;16
auxiliaire;;16
supraclusion;;16
vestibulo-version;;16
céramique;;15
overjet;;15
onychophagie;;15
ressaut articulaire;;15
bagues;;15
facette;;15
endoalvéolie;;15
ddm;;15
douleur;;15
ingression;;15
nivellement;;15
engrènement;;15
écarteur;;15
dentition permanente;;15
contention;;15
ostéotomie;;15
ancrage;maxillaire;15
succion;digitale;15
classe i d'angle;encombrée;15
dentition temporaire;incluse;15
claquement articulaire;;14
panoramique;;14
version;;14
mandibule normopositionnée;;14
classe i squelettique;;14
diastème;;14
éruption ectopique;;14
canine;;14
analyse de bolton;;14
bipro;;14
chirurgie;;14
métal;;14
dysfonction linguale;;14
gingivite;sévère;14
gingivite;modérée;14
ancrage;mandibulaire;14
microdontie;mandibulaire;14
ankylose;;13
plaque amovible;;13
macrognathie;;13
dysplasie;;13
quad helix;;13
micrognathie;;13
photographie clinique;;13
procheilie;;13
ef;;13
distalisation;;13
implant;;13
fente;;13
gouttière;;13
proglissement;;13
interposition linguale;;13
fracture;maxillaire;13
rétrognathie maxillaire;sévère;13
inclusion;maxillaire;13
microdontie;maxillaire;13
déviation mandibulaire;gauche;13
récidive;sévère;13
fracture;mandibulaire;13
diastemata;;12
mastication;;12
rétrocheilie;;12
atm;;12
détartrage;;12
plaque y;;12
macrodontie;maxillaire;12
macrodontie;mandibulaire;12
incisives latérales;maxillaires;12
incisives latérales;mandibulaires;12
rétrognathie mandibulaire;modérée;12
classe ii squelettique;modérée;12
éruption;retardée;12
maladie parodontale;;11
force orthodontique;;11
luxation;;11
rétroalvéolie;;11
classe iii squelettique;;11
overjet;sévère;11
prognathie mandibulaire;sévère;11
classe ii squelettique;sévère;11
rétrognathie maxillaire;modérée;11
inclusion;mandibulaire;11
récidive;modérée;11
bipro;incisive;11
supraclusion;antérieure;11
déviation maxillaire;antérieure;11
agénésie;maxillaire;11
aéro;;10
caries dentaires;;10
prognathisme maxillaire;;10
luxation méniscale;;10
respiration buccale;;10
prémolaire;;10
molaire;maxillaire;10
asymétrie faciale;modérée;10
protrusion;modérée;10
classe i squelettique;modérée;10
déviation maxillaire;gauche;10
récession gingivale;maxillaire;10
douleur;infectieuse;10
asymétrie faciale;droite;10
édentation;mandibulaire;10
chirurgie;traumatique;10
ostéotomie;maxillaire;10
supraclusion;sévère;10
dysfonction linguale;sévère;10
protrusion;sévère;10
supraclusion;modérée;10
occlusion croisée;;9
dysplasie;modérée;9
dysplasie;sévère;9
asymétrie faciale;sévère;9
classe i squelettique;idéale;9
dtm;modéré;9
micrognathie;maxillaire;9
déviation maxillaire;droite;9
récession gingivale;sévère;9
molaire;mandibulaire;9
prognathisme maxillaire;modéré;9
prognathisme maxillaire;sévère;9
apnée du sommeil;modérée;9
endoalvéolie;mandibulaire;9
ostéotomie;mandibulaire;9
déviation mandibulaire;droite;9
overjet;modéré;9
éruption;ectopique;9
contention;amovible;9
proglissement;gauche;9
résorption radiculaire;;8
wits;;8
malposition;;8
orthodontie linguale;;8
macrognathie;mandibulaire;8
crowding;mandibulaire;8
micrognathie;mandibulaire;8
diastème;central;8
procheilie;sévère;8
diastemata;centraux;8
crowding;sévère;8
asymétrie faciale;gauche;8
édentation;totale;8
édentation;maxillaire;8
ectopie;maxillaire;8
contention;fixe;8
bipro;maxillaire;8
bipro;sévère;8
rétrognathie mandibulaire;sévère;8
apnée du sommeil;sévère;8
crowding;antérieur;8
déviation mandibulaire;modérée;8
déviation mandibulaire;sévère;8
prognathie mandibulaire;modérée;8
dysfonction linguale;modérée;8
proglissement;droite;8
classe iii d'angle;;7
protrusion;mandibulaire;7
dtm;droit;7
récession gingivale;modérée;7
force orthodontique;sévère;7
crowding;maxillaire;7
écarteur;maxillaire;7
ddm;maxillaire;7
fente;labio-palatine;7
dent surnuméraire;maxillaire;7
malocclusion;gauche;7
latérodéviation;gauche;7
latérodéviation;droite;7
agénésie;unilatérale;7
