#stats100000_tags.csv v1.0.0 - 24/12/2025 17:29:28
canontag;canonadj;effectif
béance;;36473
bruxisme;;25240
béance;latérale;10967
béance;antérieure;7937
béance;gauche;7936
béance;modérée;7899
béance;sévère;7884
béance;droite;7778
béance;postérieure;7724
bruxisme;nocturne;7582
bruxisme;modéré;7551
bruxisme;sévère;7498
bruxisme;diurne;7460
croissance;;1221
contrôle;;1206
classe ii squelettique;;1204
dentition mixte;;1202
apnée du sommeil;;1200
traitement interceptif;;1196
occlusion croisée;;1195
dysfonction linguale;;1189
ligature;;1182
gingivite;;1181
infraposition;;1179
interposition linguale;;1178
rétrusion;;1175
infraclusion;;1175
micrognathie;;1172
rotation;;1172
plaque y;;1171
macrognathie;;1170
latérodéviation;;1168
asymétrie faciale;;1166
ressaut articulaire;;1165
quad helix;;1165
caries dentaires;;1164
supraclusion;;1163
gouttière;;1162
claquement articulaire;;1160
bagues;;1157
aéro;;1157
hygiène;;1156
prognathisme maxillaire;;1153
microdontie;;1150
herbst;;1149
luxation méniscale;;1149
contention;;1148
maladie parodontale;;1148
chirurgie;;1148
ventilation nasale;;1146
dentition temporaire;;1146
ddm;;1145
céphalométrie;;1143
atm;;1143
classe i squelettique;;1143
bielles;;1142
inclusion;;1142
composite;;1142
spacing;;1141
vestibulo-version;;1140
céramique;;1140
ectopie;;1139
minivis;;1138
niti;;1138
arthrite;;1138
incisive;;1137
métal;;1137
tong e;;1136
dent surnuméraire;;1135
urgence;;1135
mastication;;1133
édentation;;1133
endoalvéolie;;1129
ankylose;;1128
plaque amovible;;1125
déviation mandibulaire;;1125
crowding;;1123
récession gingivale;;1122
déviation maxillaire;;1121
malposition;;1120
malocclusion;;1118
écarteur;;1117
macrodontie;;1116
phonation;;1115
protrusion;;1114
plaque éventail;;1111
translation;;1111
version;;1110
agénésie;;1109
classe ii d'angle;;1109
proalvéolie;;1108
débandage;;1108
propulsor;;1108
consultation;;1108
proglissement;;1107
récidive;;1106
classe iii d'angle;;1105
distalisation;;1103
torque;;1103
détartrage;;1102
ingression;;1102
résorption radiculaire;;1101
classe i d'angle;;1101
élastiques intermaxillaires;;1101
douleur;;1101
dentition permanente;;1100
panoramique;;1100
classe iii squelettique;;1100
canine;;1099
occlusion inversée;;1098
prémolaire;;1098
bipro;;1098
dysplasie;;1096
ef;;1096
plaque papillon;;1096
déglutition;;1095
succion;;1093
pendulum;;1092
linguo-version;;1092
supraposition;;1091
diastemata;;1090
onychophagie;;1089
transposition;;1087
nécrose pulpaire;;1086
mainteneur d'espace;;1086
arthrose;;1085
alignement;;1085
prognathisme mandibulaire;;1084
mésialisation;;1081
activateur;;1081
molaire;;1081
avulsion;;1078
diastème;;1077
arc;;1075
luxation;;1070
égression;;1069
stripping;;1067
respiration buccale;;1067
empreinte;;1064
scanner;;1063
rétroalvéolie;;1063
fil qui pique;;1061
scanner intra-oral;;1060
ostéotomie;;1059
arcade;;1006
chirurgie;traumatique;816
incisive;centrale;814
dentition temporaire;incluse;804
succion;digitale;785
classe i d'angle;encombrée;766
diastemata;centraux;766
douleur;infectieuse;759
diastème;central;757
contention;amovible;713
ligature;fixe;711
ligature;amovible;702
contention;fixe;684
classe i squelettique;idéale;646
classe i squelettique;modérée;646
classe iii d'angle;unilatérale;611
avulsion;totale;602
classe ii d'angle;unilatérale;486
proalvéolie;incisive;474
malposition;mandibulaire;418
prognathisme maxillaire;modéré;416
malocclusion;droite;405
classe iii squelettique;modérée;399
prognathisme maxillaire;sévère;392
prognathisme mandibulaire;sévère;380
malposition;maxillaire;377
malocclusion;gauche;376
classe iii squelettique;sévère;370
prognathisme mandibulaire;modéré;362
latérodéviation;droite;361
classe iii d'angle;modérée;360
latérodéviation;maxillaire;356
endoalvéolie;sévère;351
latérodéviation;gauche;349
latérodéviation;mandibulaire;345
endoalvéolie;modérée;338
endoalvéolie;mandibulaire;335
endoalvéolie;maxillaire;327
rétroalvéolie;sévère;327
classe iii d'angle;sévère;327
classe ii d'angle;division 1;322
classe ii d'angle;modérée;319
proalvéolie;modérée;317
rétroalvéolie;modérée;313
rétroalvéolie;maxillaire;311
rétroalvéolie;mandibulaire;305
proalvéolie;mandibulaire;291
classe ii d'angle;sévère;289
proalvéolie;maxillaire;275
classe ii d'angle;division 2;273
proalvéolie;sévère;272
avulsion;programmée;238
avulsion;immédiate;227
avulsion;différée;219
