#stats3200_tags.csv v1.0.0 - 13/02/2026 18:56:36
canontag;canonadj;effectif
béance;;1176
bruxisme;;804
bruxisme;diurne;338
bruxisme;nocturne;336
bruxisme;modéré;323
bruxisme;sévère;323
béance;antérieure;277
béance;gauche;274
béance;modérée;272
béance;postérieure;263
béance;droite;257
béance;sévère;253
béance;latérale;253
céphalométrie;;44
maxillaire normopositionné;;44
favori;;43
égression;;43
torque;;42
ancrage;;42
déglutition;;41
déviation maxillaire;;41
agénésie;;41
contrôle;;40
linguo-version;;40
translation;;40
microdontie;;40
édentation;;40
débandage;;40
diabète;;39
rétrognathie maxillaire;;39
récession gingivale;;39
auxiliaire;;39
récidive;;39
éruption;;39
dentition mixte;;38
arc transpalatin;;38
céramique;;38
fracture;;38
ventilation nasale;;38
stripping;;38
classe ii squelettique;;38
bipro;;38
propulsor;;37
incisives latérales;;37
écarteur;;37
plaque éventail;;37
composite;;37
macrodontie;;36
aéro;;36
classe ii d'angle;;36
alignement;;36
classe i d'angle;;36
prognathie mandibulaire;;36
minivis;;36
empreinte;;36
succion;;35
molaire;;35
phonation;;35
activateur;;35
arthrite;;35
déviation mandibulaire;;35
gingivite;;35
fente;;35
maladie parodontale;;34
overjet;;34
protrusion;;34
scanner;;34
avulsion;;34
malocclusion;;34
mainteneur d'espace;;34
contention;;34
ostéotomie;;34
vestibulo-version;;34
rétroalvéolie;;34
proglissement;;34
asymétrie faciale;;33
version;;33
érosion;;33
ef;;33
inclusion;;33
rétrocheilie;;33
transposition;;33
apnée du sommeil;;33
plaque amovible;;32
arc orthodontique;;32
ectopie;;32
ressaut articulaire;;32
crowding;;32
panoramique;;32
facette;;32
dtm;;32
plaque papillon;;32
nivellement;;32
claquement articulaire;;31
urgence;;31
ingression;;31
pendulum;;31
croissance;;31
traitement interceptif;;31
photographie clinique;;31
fluorose;;30
dysplasie;;30
incisives palatinées;;30
endoalvéolie;;30
diastemata;;30
dent surnuméraire;;30
engrènement;;30
arthrose;;30
luxation méniscale;;30
supraclusion;;30
interposition linguale;;30
classe iii squelettique;;30
bielles;;29
nécrose pulpaire;;29
occlusion croisée;;29
mandibule normopositionnée;;29
rétrognathie mandibulaire;;29
ddm;;29
consultation;;29
niti;;29
occlusion inversée;;29
plaque y;;29
ancrage;maxillaire;29
élastiques intermaxillaires;;28
bagues;;28
dentition temporaire;;28
diastème;;28
procheilie;;28
rotation;;28
force orthodontique;;28
canine;;28
analyse de bolton;;28
implant;;28
dysfonction linguale;;28
succion;digitale;28
microdontie;mandibulaire;28
ankylose;;27
classe i squelettique;;27
éruption ectopique;;27
dentition permanente;;27
gouttière;;27
gingivite;modérée;27
ancrage;mandibulaire;27
macrognathie;;26
prognathisme maxillaire;;26
distalisation;;26
ostéotomie;maxillaire;26
onychophagie;;25
douleur;;25
latérodéviation;;25
chirurgie;;25
mésialisation;;25
prémolaire;;25
overjet;sévère;25
classe i d'angle;encombrée;25
microdontie;maxillaire;25
gingivite;sévère;25
bipro;incisive;25
quad helix;;24
détartrage;;24
métal;;24
incisives latérales;maxillaires;24
récidive;sévère;24
éruption;retardée;24
résorption radiculaire;;23
mastication;;23
atm;;23
scanner intra-oral;;23
orthodontie linguale;;23
macrodontie;maxillaire;23
incisives latérales;mandibulaires;23
rétrognathie maxillaire;sévère;23
rétrognathie maxillaire;modérée;23
contention;fixe;23
maladie parodontale;sévère;23
ostéotomie;mandibulaire;23
fracture;mandibulaire;23
éruption;ectopique;23
proglissement;gauche;23
respiration buccale;;22
déviation maxillaire;gauche;22
bipro;sévère;22
maladie parodontale;modérée;22
overjet;modéré;22
contention;amovible;22
malposition;;21
luxation;;21
molaire;maxillaire;21
fracture;maxillaire;21
classe ii squelettique;sévère;21
déviation maxillaire;droite;21
inclusion;maxillaire;21
molaire;mandibulaire;21
diastemata;centraux;21
récidive;modérée;21
édentation;mandibulaire;21
bipro;maxillaire;21
wits;;20
macrodontie;mandibulaire;20
dysplasie;sévère;20
classe i squelettique;modérée;20
rétrognathie mandibulaire;modérée;20
prognathie mandibulaire;sévère;20
classe ii squelettique;modérée;20
prognathisme maxillaire;sévère;20
dentition temporaire;incluse;20
chirurgie;traumatique;20
déviation maxillaire;antérieure;20
proglissement;droite;20
caries dentaires;;19
micrognathie;;19
récession gingivale;maxillaire;19
inclusion;mandibulaire;19
écarteur;sévère;19
prognathisme maxillaire;modéré;19
édentation;maxillaire;19
supraclusion;antérieure;19
asymétrie faciale;sévère;18
récession gingivale;modérée;18
diastème;central;18
douleur;infectieuse;18
force orthodontique;modérée;18
écarteur;maxillaire;18
apnée du sommeil;modérée;18
rétrognathie mandibulaire;sévère;18
supraclusion;sévère;18
dysplasie;modérée;17
protrusion;mandibulaire;17
force orthodontique;sévère;17
écarteur;modéré;17
asymétrie faciale;droite;17
édentation;complète;17
dysfonction linguale;sévère;17
protrusion;sévère;17
dysfonction linguale;modérée;17
supraclusion;modérée;17
protrusion;modérée;16
ddm;mandibulaire;16
classe i squelettique;idéale;16
procheilie;sévère;16
déviation mandibulaire;gauche;16
édentation;totale;16
fente;labio-palatine;16
prognathie mandibulaire;modérée;16
respiration buccale;sévère;16
résorption radiculaire;modérée;16
classe iii squelettique;sévère;16
classe iii d'angle;;15
macrognathie;mandibulaire;15
dtm;modéré;15
récession gingivale;sévère;15
ddm;maxillaire;15
agénésie;maxillaire;15
asymétrie faciale;modérée;14
avulsion;différée;14
dtm;droit;14
rétrocheilie;mandibulaire;14
canine;ectopique;14
ectopie;maxillaire;14
agénésie;unilatérale;14
résorption radiculaire;sévère;14
rétroalvéolie;maxillaire;14
protrusion;maxillaire;14
ankylose;maxillaire;13
crowding;mandibulaire;13
avulsion;totale;13
micrognathie;maxillaire;13
procheilie;mandibulaire;13
rétrocheilie;sévère;13
endoalvéolie;modérée;13
endoalvéolie;mandibulaire;13
luxation méniscale;bilatérale;13
apnée du sommeil;sévère;13
respiration buccale;modérée;13
malocclusion;gauche;13
rétroalvéolie;mandibulaire;13
classe iii squelettique;modérée;13
macrognathie;maxillaire;13
ectopie;mandibulaire;13
ddm;sévère;12
dtm;gauche;12
asymétrie faciale;gauche;12
déviation mandibulaire;modérée;12
déviation mandibulaire;droite;12
gouttière;invisible;12
fente;palatine;12
dent surnuméraire;maxillaire;12
rétroalvéolie;sévère;12
rétroalvéolie;modérée;12
dent surnuméraire;mandibulaire;12
agénésie;mandibulaire;12
luxation méniscale;réductible;12
ankylose;mandibulaire;11
micrognathie;mandibulaire;11
rétrocheilie;modérée;11
canine;incluse;11
endoalvéolie;sévère;11
crowding;modéré;11
crowding;antérieur;11
rétrocheilie;maxillaire;11
latérodéviation;gauche;11
latérodéviation;droite;11
récession gingivale;mandibulaire;11
occlusion croisée;unilatérale;10
occlusion croisée;antérieure;10
dtm;sévère;10
classe ii d'angle;unilatérale;10
crowding;maxillaire;10
crowding;sévère;10
malocclusion;modérée;10
luxation méniscale;gauche;10
endoalvéolie;maxillaire;10
classe iii d'angle;sévère;10
agénésie;latérale;10
malocclusion;mandibulaire;10
classe ii d'angle;sévère;9
classe ii d'angle;division 2;9
dtm;bilatéral;9
déviation mandibulaire;sévère;9
gouttière;chirurgicale;9
canine;mandibulaire;9
avulsion;immédiate;9
classe iii d'angle;modérée;9
agénésie;bilatérale;9
malocclusion;sévère;9
occlusion inversée;postérieure;9
ddm;modérée;8
classe ii d'angle;division 1;8
latérodéviation;sévère;8
classe ii d'angle;modérée;8
procheilie;maxillaire;8
procheilie;modérée;8
luxation méniscale;unilatérale;8
fente;labiale;8
malocclusion;droite;8
latérodéviation;modérée;8
occlusion inversée;antérieure;8
avulsion;programmée;8
malocclusion;maxillaire;8
canine;maxillaire;8
malposition;sévère;7
