#stats200_tags.csv v1.0.0 - 13/12/2025 13:32:00
canontag;canonadj;effectif
béance;;65
Bruxisme;;49
béance;postérieur;27
Bruxisme;diurne;21
Bruxisme;sévère;20
Bruxisme;modéré;19
béance;antérieur;17
béance;sévère;16
béance;droit;15
Bruxisme;nocturne;15
béance;latéral;14
béance;modéré;14
béance;gauche;13
maladie parodontale;;9
gingivite;;8
arc;;7
céramique;;6
céphalométrie;;6
métal;;5
rétrusion;;5
mésialisation;;5
rétroalvéolie;;5
détartrage;;5
diastème;;5
classe III d'Angle;;4
ressaut articulaire;;4
transposition;;4
pendulum;;4
macrognathie;;4
dentition mixte;;4
translation;;4
crowding;;4
fil qui pique;;4
nécrose pulpaire;;4
protrusion;;4
malocclusion;;4
molaire;;4
ankylose;;4
mastication;;4
égression;;4
ressaut articulaire;droit;4
macrognathie;maxillaire;4
molaire;deuxième;4
écarteur;;3
disjoncteur;;3
diastemata;;3
classe II d'Angle;;3
chirurgie;;3
rétrognathie maxillaire;;3
respiration buccale;;3
version;;3
dysplasie;;3
SNA;;3
Classe I squelettique;;3
croissance;;3
occlusion croisée;;3
mainteneur d'espace;;3
ectopie;;3
stripping;;3
minivis;;3
prognathie;;3
récession gingivale;;3
Wits;;3
arcade;;3
micrognathie;;3
hygiène;;3
spacing;;3
torque;;3
récidive;;3
activateur;;3
contention;;3
surplomb;;3
croissance;pic;3
molaire;premier;3
ressaut articulaire;gauche;3
ligature;;2
scanner;;2
gouttière;;2
résorption radiculaire;;2
ingression;;2
Classe III squelettique;;2
SNB;;2
dent surnuméraire;;2
élastiques intermaxillaires;;2
interposition linguale;;2
apnée du sommeil;;2
occlusion inversée;;2
macrodontie;;2
dentition permanente;;2
dysfonction linguale;;2
latérodéviation maxillaire;;2
phonation;;2
scanner intra-oral;;2
plaque amovible;;2
déglutition;;2
alignement;;2
ATM;;2
urgence;;2
panoramique;;2
malposition dentaire;;2
canine;;2
onychophagie;;2
classe I d'Angle;;2
ANB;;2
caries dentaires;;2
proalvéolie;;2
proglissement mandibulaire;;2
rétrognathie maxillaire;modéré;2
malocclusion;gauche;2
malocclusion;droit;2
Classe I squelettique;idéal;2
arcade;mandibulaire;2
arcade;maxillaire;2
micrognathie;mandibulaire;2
malposition dentaire;maxillaire;2
malposition dentaire;mandibulaire;2
classe I d'Angle;avec encombrement;2
classe I d'Angle;avec diastèmes;2
contention;amovible;2
contention;fixe;2
macrognathie;mandibulaire;2
arthrite;;1
Prognathisme mandibulaire;;1
linguo-version;;1
bagues;;1
arthrose;;1
Prognathisme maxillaire;;1
consultation;;1
douleur;;1
asymétrie faciale;;1
succion;;1
composite;;1
supraclusion;;1
débandage;;1
latérodéviation mandibulaire;;1
claquement articulaire;;1
prémolaire;;1
avulsion;;1
infraclusion;;1
microdontie;;1
DDM;;1
supraposition;;1
agénésie;;1
déviation maxillaire;;1
Propulsor;;1
Herbst;;1
rétrognathie mandibulaire;;1
luxation méniscale;;1
empreinte;;1
rotation;;1
arthrite;infectieux;1
arthrite;traumatique;1
Prognathisme mandibulaire;sévère;1
Prognathisme mandibulaire;modéré;1
classe III d'Angle;modéré;1
classe III d'Angle;subdivision;1
classe III d'Angle;sévère;1
classe II d'Angle;subdivision;1
Prognathisme maxillaire;modéré;1
Prognathisme maxillaire;sévère;1
occlusion inversée;droit;1
occlusion inversée;gauche;1
occlusion inversée;postérieur;1
déglutition;atypique;1
succion;digital;1
canine;inclus;1
micrognathie;maxillaire;1
rétrognathie maxillaire;sévère;1
latérodéviation mandibulaire;droit;1
classe II d'Angle;modéré;1
classe II d'Angle;sévère;1
claquement articulaire;gauche;1
claquement articulaire;droit;1
claquement articulaire;léger;1
prémolaire;premier;1
DDM;sévère;1
proalvéolie;sévère;1
proalvéolie;modéré;1
rétroalvéolie;maxillaire;1
rétroalvéolie;mandibulaire;1
déviation maxillaire;droit;1
latérodéviation maxillaire;gauche;1
latérodéviation maxillaire;droit;1
luxation méniscale;réductible;1
